combined_symptoms,disease_encoded
itching vomiting fatigue weight loss yellowish skin dark urine abdominal pain,28
itching vomiting fatigue weight loss high fever dark urine abdominal pain,28
itching vomiting fatigue weight loss high fever yellowish skin abdominal pain,28
itching vomiting fatigue weight loss high fever yellowish skin dark urine,28
chills vomiting high fever sweating headache nausea muscle pain,29
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
vomiting high fever sweating headache nausea diarrhoea muscle pain,29
chills high fever sweating headache nausea diarrhoea muscle pain,29
chills vomiting sweating headache nausea diarrhoea muscle pain,29
chills vomiting high fever headache nausea diarrhoea muscle pain,29
chills vomiting high fever sweating nausea diarrhoea muscle pain,29
chills vomiting high fever sweating headache diarrhoea muscle pain,29
chills vomiting high fever sweating headache nausea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
itching fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
itching skin rash lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
itching skin rash fatigue high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
itching skin rash fatigue lethargy headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
itching skin rash fatigue lethargy high fever loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
itching skin rash fatigue lethargy high fever headache mild fever swelled lymph nodes malaise red spots over body,8
itching skin rash fatigue lethargy high fever headache loss of appetite swelled lymph nodes malaise red spots over body,8
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain muscle pain red spots over body,11
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise red spots over body,11
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain,11
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
skin rash joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
skin rash chills vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
skin rash chills joint pain fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
skin rash chills joint pain vomiting high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
skin rash chills joint pain vomiting fatigue headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
chills vomiting fatigue high fever headache constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
chills vomiting fatigue high fever headache nausea abdominal pain diarrhoea toxic look (typhos) belly pain,37
chills vomiting fatigue high fever headache nausea constipation diarrhoea toxic look (typhos) belly pain,37
chills vomiting fatigue high fever headache nausea constipation abdominal pain toxic look (typhos) belly pain,37
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea belly pain,37
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos),37
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
chills fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain vomiting dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain vomiting yellowish skin nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain vomiting yellowish skin dark urine loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain vomiting yellowish skin dark urine nausea abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain vomiting yellowish skin dark urine nausea loss of appetite diarrhoea mild fever yellowing of eyes muscle pain,40
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching fatigue yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching fatigue lethargy dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching fatigue lethargy yellowish skin loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching fatigue lethargy yellowish skin dark urine abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching fatigue lethargy yellowish skin dark urine loss of appetite yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite family history,20
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
